[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 32/793 (0x567500…, microstrategy-announces-1000-btc) elapsed=9.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 33/793 (0x6e1a7b…, microstrategy-announces-1000-btc) elapsed=9.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 34/793 (0x4bfb41…, microstrategy-announces-1000-btc) elapsed=10.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 35/793 (0x0d832e…, microstrategy-announces-1000-btc) elapsed=10.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 36/793 (0x7bb7bc…, microstrategy-announces-1000-btc) elapsed=10.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 37/793 (0xf2f76d…, microstrategy-announces-1000-btc) elapsed=10.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 38/793 (0x6bab41…, microstrategy-announces-1000-btc) elapsed=10.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 39/793 (0xaab69d…, microstrategy-announces-1000-btc) elapsed=11.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 40/793 (0xa6d9b5…, microstrategy-announces-1000-btc) elapsed=11.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 41/793 (0xf5b4ad…, microstrategy-announces-1000-btc) elapsed=11.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 42/793 (0x565209…, microstrategy-announces-1000-btc) elapsed=11.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 43/793 (0xb574bc…, microstrategy-announces-1000-btc) elapsed=11.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 44/793 (0xc084ec…, microstrategy-announces-1000-btc) elapsed=12.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 45/793 (0xa4b366…, microstrategy-announces-1000-btc) elapsed=12.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 46/793 (0x80ab6a…, microstrategy-announces-1000-btc) elapsed=12.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 47/793 (0x026036…, microstrategy-announces-1000-btc) elapsed=12.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 48/793 (0x8ee31a…, microstrategy-announces-1000-btc) elapsed=12.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 49/793 (0xf32898…, microstrategy-announces-1000-btc) elapsed=13.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 50/793 (0x567500…, microstrategy-announces-1000-btc) elapsed=13.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 51/793 (0xd18966…, microstrategy-announces-1000-btc) elapsed=13.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 52/793 (0xb1a279…, microstrategy-announces-1000-btc) elapsed=13.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 53/793 (0x9256dc…, microstrategy-announces-1000-btc) elapsed=14.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 54/793 (0x556082…, microstrategy-announces-1000-btc) elapsed=14.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 55/793 (0x739ce9…, microstrategy-announces-1000-btc) elapsed=14.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 56/793 (0x69645c…, microstrategy-announces-1000-btc) elapsed=14.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 57/793 (0x4e09ac…, microstrategy-sell-any-bitcoin-i) elapsed=15.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 58/793 (0xd44c2d…, microstrategy-sell-any-bitcoin-i) elapsed=15.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
