[metadata_layer] WARNING: ETHERSCAN_API_KEY not set; wallet_age / funder / sibling features will be NaN.
[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 59/793 (0xbf4b67…, microstrategy-sell-any-bitcoin-i) elapsed=62.6s
[metadata_layer] 60/793 (0x9c2617…, microstrategy-sell-any-bitcoin-i) elapsed=64.5s
[metadata_layer] 61/793 (0x926df8…, microstrategy-sell-any-bitcoin-i) elapsed=66.2s
[metadata_layer] 62/793 (0x976685…, microstrategy-sell-any-bitcoin-i) elapsed=66.2s
[metadata_layer] 63/793 (0xab57cc…, microstrategy-sell-any-bitcoin-i) elapsed=68.2s
[metadata_layer] 64/793 (0x9d4b90…, nothing-ever-happens-microstrate) elapsed=69.3s
[metadata_layer] 65/793 (0xa0c37c…, nothing-ever-happens-microstrate) elapsed=69.4s
[metadata_layer] 66/793 (0xc8ab97…, nothing-ever-happens-microstrate) elapsed=70.8s
[metadata_layer] 67/793 (0x4bfb41…, nothing-ever-happens-microstrate) elapsed=70.8s ERR: KeyError: 'timestamp'
[metadata_layer] 68/793 (0x899a25…, nothing-ever-happens-microstrate) elapsed=71.8s
[metadata_layer] 69/793 (0x382caa…, nothing-ever-happens-microstrate) elapsed=73.9s
[metadata_layer] 70/793 (0x468051…, nothing-ever-happens-microstrate) elapsed=74.1s
[metadata_layer] 71/793 (0x7ab480…, nothing-ever-happens-microstrate) elapsed=75.6s
[metadata_layer] 72/793 (0xc084ec…, nothing-ever-happens-microstrate) elapsed=75.6s
[metadata_layer] 73/793 (0xdc4f08…, nothing-ever-happens-microstrate) elapsed=77.5s
[metadata_layer] 74/793 (0xa43d9a…, nothing-ever-happens-microstrate) elapsed=79.9s
[metadata_layer] 75/793 (0x914e24…, nothing-ever-happens-microstrate) elapsed=80.2s
[metadata_layer] 76/793 (0x976685…, nothing-ever-happens-microstrate) elapsed=80.2s
[metadata_layer] 77/793 (0x768c86…, nothing-ever-happens-microstrate) elapsed=80.5s
[metadata_layer] 78/793 (0x41de6f…, openai-browser-by-october-31) elapsed=81.3s
[metadata_layer] 79/793 (0xce6694…, openai-browser-by-october-31) elapsed=82.9s
[metadata_layer] 80/793 (0x277d28…, openai-browser-by-october-31) elapsed=83.1s
[metadata_layer] 81/793 (0x535889…, openai-browser-by-october-31) elapsed=84.8s
[metadata_layer] 82/793 (0x9ff5d1…, openai-browser-by-october-31) elapsed=85.1s
[metadata_layer] 83/793 (0x786885…, openai-browser-by-october-31) elapsed=85.3s
